deployment_id,location_id,location_name,longitude,latitude,start,end,setup_by,camera_id,camera_model,camera_interval,camera_height,bait_use,feature_type,tags,comments
1308f068-83ac-4432-90ea-619fa3154579,60c07798-f069-4dcc-997f-8243272609f1,2018_3_1002,4.70656,50.80712,2018-06-07T11:35:05Z,2018-07-03T13:51:17Z,Niko Boone,,,0,50,none,,Meerdaal West,
23945adb-0c21-441e-9de9-85d99faf3a92,102e24cc-f0be-4d76-a0a7-207df901f59c,2018_3_751,4.66667,50.79618,2018-06-02T12:37:55Z,2018-07-06T20:15:18Z,Kathleen Vanhuyse,,,0,50,food,,Meerdaal West,apples as bait
4a2fb56a-dcf1-4373-8090-e91cde99832f,7cd880d5-0b63-4ea3-8678-b1191cc32a6e,2018_3_1173,4.73384,50.81397,2018-06-08T16:10:05Z,2018-07-09T19:45:49Z,louis  Binon,,,0,50,none,,Meerdaal Oost,
562ce88f-0b02-41e5-9b5a-80b5e0b5b40e,2caebcc9-dc8a-4aee-acc8-9abb8f0a7edb,2018_3_909,4.73375,50.80273,2018-06-08T15:44:28Z,2018-07-09T19:38:18Z,louis  Binon,,,0,50,none,,Meerdaal Oost,
63e66e2c-db46-4091-a180-aa35a76f1d37,e6143a98-ecfd-49fd-ab08-ddf7a5be5ce7,2018_3_1280,4.74097,50.81844,2018-06-08T16:23:49Z,2018-07-09T19:58:23Z,louis  Binon,,,0,50,none,,Meerdaal Oost,
68967df1-2a14-4180-83c7-bded3faf17d0,19e7d52d-3943-4350-be6b-542097796821,2018_3_760,4.69855,50.79651,2018-06-02T16:00:00Z,2018-07-04T19:22:01Z,Kathleen Vanhuyse,,,0,50,none,,Meerdaal West,
749161ca-5993-4965-beb1-84ac9fc54b28,b4a5575f-a185-4bf6-a8c4-81a6554ee3c4,2018_3_1108,4.69797,50.81190,2018-06-02T17:30:53Z,2018-07-04T18:58:16Z,Kathleen Vanhuyse,,,0,50,none,,Meerdaal West,
7de2324a-9f15-42bb-a60f-152154da9262,22edbc0b-7acc-4207-a681-c3149b63f87a,2018_3_1445,4.67711,50.82747,2018-06-05T14:02:49Z,2018-07-05T11:20:23Z,Jim Casaer,,,0,50,none,,Heverleebos,
7e0fa581-9aa6-4a53-bdb3-57095c739329,54f1c369-fbb4-48cb-a290-3621d9b8a3e6,2018_3_956,4.72667,50.80500,2018-06-08T15:30:22Z,2018-07-09T19:28:14Z,louis  Binon,,,0,50,none,,Meerdaal Oost,
880c2407-09a4-448b-b246-b3a04a322277,f289e9b9-271e-4aa1-ab29-a16f8aa3ba87,2018_3_1563,4.69089,50.83431,2018-06-05T14:20:32Z,2018-07-05T10:17:42Z,Jim Casaer,,,0,50,none,,Heverleebos,
89b1d091-e7ba-4254-9924-ee46bbd2a2b5,faea3ab8-58f7-4741-9acc-0291c2f69e5f,2018_3_1258,4.66340,50.81912,2018-06-07T10:35:11Z,2018-07-03T13:19:19Z,Niko Boone,,,0,50,none,,Meerdaal West,
922bc316-8904-44d5-9e28-4dac09b755d2,1314b4e1-c4aa-4472-8c50-c9cfca27336b,2018_3_1775,4.68063,50.84986,2018-06-05T14:53:34Z,2018-07-04T11:11:07Z,Jim Casaer,,,0,50,none,,Heverleebos,
94f0d31f-a775-447e-ac74-715d6042e52e,82d0f36a-9783-49e5-b864-9994425d1dbb,2018_3_1046,4.67348,50.80958,2018-06-02T10:50:50Z,2018-06-29T19:09:08Z,Kathleen Vanhuyse,,,0,50,none,,Meerdaal West,
ac911ed5-093c-4726-93a2-ed7aba2ddae5,075737ee-a0f2-4e2d-b67e-7db7ddbfeb84,2018_3_1600,4.69752,50.83689,2018-06-05T12:45:11Z,2018-07-04T12:22:47Z,Jim Casaer,,,0,50,none,,Heverleebos,
dde4a152-fc90-4f17-836e-9b0c85789340,76c42412-9da7-41f2-9634-dd4ba1f1c327,2019_5_956,4.72667,50.80500,2018-06-27T13:53:20Z,2018-07-17T08:49:03Z,louis  Binon,,,0,50,none,,Meerdaal Oost,
e6f6eea4-861a-45a3-8693-e7c12a06bb37,5b251e28-b2e0-4e1e-a07d-620f432dbe7b,2018_3_807,4.70523,50.79852,2018-06-02T16:30:48Z,2018-07-04T19:37:20Z,Kathleen Vanhuyse,,,0,50,none,,Meerdaal West,
f7991db5-01a3-4708-af89-4a5ff5c6a3f6,208b7d32-78e4-4491-9153-d1dcbb230d9a,2018_3_1665,4.69538,50.84151,2018-06-06T00:00:00Z,2018-07-04T12:09:34Z,Jim Casaer,,,0,50,none,,Heverleebos,
f9a655f1-d402-4bf4-a180-d38877f7e238,552b4792-3547-42ca-85d6-4fa5f0092fa8,2018_3_998,4.69119,50.80767,2018-06-02T14:15:28Z,2018-07-06T18:30:19Z,Kathleen Vanhuyse,,,0,50,none,,Meerdaal West,
